    0.4000         0		0
    0.3923    0.0532		0
    0.3776    0.1043		0
    0.3564    0.1524		0
    0.3291    0.1968		0
    0.2965    0.2367		0
    0.2592    0.2714		0
    0.2180    0.3004		0
    0.1737    0.3233		0
    0.1272    0.3399		0
    0.0795    0.3498		0
    0.0314    0.3532		0
   -0.0161    0.3501		0
   -0.0623    0.3408		0
   -0.1062    0.3254		0
   -0.1471    0.3045		0
   -0.1844    0.2785		0
   -0.2174    0.2481		0
   -0.2457    0.2139		0
   -0.2688    0.1767		0
   -0.2863    0.1372		0
   -0.2983    0.0963		0
   -0.3044    0.0546		0
   -0.3049    0.0130		0
   -0.2998   -0.0276		0
   -0.2893   -0.0667		0
   -0.2739   -0.1035		0
   -0.2538   -0.1374		0
   -0.2298   -0.1678		0
   -0.2022   -0.1943		0
   -0.1717   -0.2165		0
   -0.1389   -0.2340		0
   -0.1046   -0.2468		0
   -0.0694   -0.2546		0
   -0.0341   -0.2576		0
    0.0008   -0.2557		0
    0.0346   -0.2492		0
    0.0666   -0.2383		0
    0.0964   -0.2234		0
    0.1234   -0.2049		0
    0.1472   -0.1832		0
    0.1675   -0.1590		0
    0.1840   -0.1326		0
    0.1965   -0.1047		0
    0.2049   -0.0760		0
    0.2093   -0.0468		0
    0.2095   -0.0180		0
    0.2059    0.0101		0
    0.1987    0.0370		0
    0.1880    0.0620		0
    0.1742    0.0849		0
    0.1578    0.1052		0
    0.1392    0.1228		0
    0.1187    0.1372		0
    0.0969    0.1485		0
    0.0744    0.1564		0
    0.0514    0.1611		0
    0.0286    0.1625		0
    0.0064    0.1607		0
   -0.0149    0.1560		0
   -0.0348    0.1486		0
   -0.0529    0.1387		0
   -0.0691    0.1267		0
   -0.0831    0.1129		0
   -0.0946    0.0978		0
   -0.1037    0.0817		0
   -0.1101    0.0649		0
   -0.1141    0.0479		0
   -0.1155    0.0311		0
   -0.1145    0.0148		0
   -0.1113   -0.0007		0
   -0.1061   -0.0151		0
   -0.0992   -0.0281		0
   -0.0907   -0.0395		0
   -0.0811   -0.0492		0
   -0.0705   -0.0571		0
   -0.0594   -0.0630		0
   -0.0480   -0.0671		0
   -0.0366   -0.0693		0
   -0.0256   -0.0697		0
   -0.0151   -0.0685		0
   -0.0054   -0.0658		0
    0.0032   -0.0618		0
    0.0107   -0.0567		0
    0.0170   -0.0509		0
    0.0218   -0.0444		0
    0.0253   -0.0377		0
    0.0274   -0.0308		0
    0.0281   -0.0242		0
    0.0277   -0.0179		0
    0.0261   -0.0123		0
    0.0236   -0.0074		0
    0.0203   -0.0035		0
    0.0165   -0.0006		0
    0.0123    0.0012		0
    0.0080    0.0019		0
    0.0038    0.0015		0
       -0.4000         0		1
   -0.3923   -0.0532		1
   -0.3776   -0.1043		1
   -0.3564   -0.1524		1
   -0.3291   -0.1968		1
   -0.2965   -0.2367		1
   -0.2592   -0.2714		1
   -0.2180   -0.3004		1
   -0.1737   -0.3233		1
   -0.1272   -0.3399		1
   -0.0795   -0.3498		1
   -0.0314   -0.3532		1
    0.0161   -0.3501		1
    0.0623   -0.3408		1
    0.1062   -0.3254		1
    0.1471   -0.3045		1
    0.1844   -0.2785		1
    0.2174   -0.2481		1
    0.2457   -0.2139		1
    0.2688   -0.1767		1
    0.2863   -0.1372		1
    0.2983   -0.0963		1
    0.3044   -0.0546		1
    0.3049   -0.0130		1
    0.2998    0.0276		1
    0.2893    0.0667		1
    0.2739    0.1035		1
    0.2538    0.1374		1
    0.2298    0.1678		1
    0.2022    0.1943		1
    0.1717    0.2165		1
    0.1389    0.2340		1
    0.1046    0.2468		1
    0.0694    0.2546		1
    0.0341    0.2576		1
   -0.0008    0.2557		1
   -0.0346    0.2492		1
   -0.0666    0.2383		1
   -0.0964    0.2234		1
   -0.1234    0.2049		1
   -0.1472    0.1832		1
   -0.1675    0.1590		1
   -0.1840    0.1326		1
   -0.1965    0.1047		1
   -0.2049    0.0760		1
   -0.2093    0.0468		1
   -0.2095    0.0180		1
   -0.2059   -0.0101		1
   -0.1987   -0.0370		1
   -0.1880   -0.0620		1
   -0.1742   -0.0849		1
   -0.1578   -0.1052		1
   -0.1392   -0.1228		1
   -0.1187   -0.1372		1
   -0.0969   -0.1485		1
   -0.0744   -0.1564		1
   -0.0514   -0.1611		1
   -0.0286   -0.1625		1
   -0.0064   -0.1607		1
    0.0149   -0.1560		1
    0.0348   -0.1486		1
    0.0529   -0.1387		1
    0.0691   -0.1267		1
    0.0831   -0.1129		1
    0.0946   -0.0978		1
    0.1037   -0.0817		1
    0.1101   -0.0649		1
    0.1141   -0.0479		1
    0.1155   -0.0311		1
    0.1145   -0.0148		1
    0.1113    0.0007		1
    0.1061    0.0151		1
    0.0992    0.0281		1
    0.0907    0.0395		1
    0.0811    0.0492		1
    0.0705    0.0571		1
    0.0594    0.0630		1
    0.0480    0.0671		1
    0.0366    0.0693		1
    0.0256    0.0697		1
    0.0151    0.0685		1
    0.0054    0.0658		1
   -0.0032    0.0618		1
   -0.0107    0.0567		1
   -0.0170    0.0509		1
   -0.0218    0.0444		1
   -0.0253    0.0377		1
   -0.0274    0.0308		1
   -0.0281    0.0242		1
   -0.0277    0.0179		1
   -0.0261    0.0123		1
   -0.0236    0.0074		1
   -0.0203    0.0035		1
   -0.0165    0.0006		1
   -0.0123   -0.0012		1
   -0.0080   -0.0019		1
   -0.0038   -0.0015		1
